Descricao_Acao;Descricao_Elemento;Descricao_item_Despesa;Orcamento_Atualizado;Empenhado;Liquidado;Pago;Pago_Restos_Pagar
MEMORIA DA CIDADE DO RIO DE JANEIRO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS GRAFICOS EM GERAL POR PESSOA JURIDICA                                            ;0;0;0;0;12550
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;DESPESAS MIUDAS DE PRONTO PAGAMENTO E/OU DE CARATER EXTRAORDINARIO OU URGENTE             ;0;22888.99;22888.99;22888.99;22888.99
ASSISTENCIA E EDUCACAO PARA O CONSUMO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;MAQUINAS E EQUIPAMENTOS DE INFORMATICA E TELECOMUNICACOES - LOCACAO                       ;0;85000;56102.38;49915.54;49915.54
FISCALIZACAO DAS RELACOES DE CONSUMO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;100000;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;DIARIAS - CIVIL                                                                           ;DIARIAS - CIVIL                                                                           ;1000;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;13  VENCIMENTO DE FUNCIONARIO ESTATUTARIO                                                 ;0;15537.8;15537.8;15537.8;15537.8
IMPLANTACAO DO VLT DO CENTRO;APORTE DE RECURSOS PELO PARCEIRO PUB EM FAVOR DO PARCEIRO PRIV DECORRENTE DE CONTRT DE PPP;APORTES DE RECURSOS DESTINADOS A OBRAS E AQUISICAO DE BENS. DECORRENTES DE CONTRATO DE PPP;0;231524.34;231524.34;231524.34;231524.34
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;LOCACAO DE MAO-DE-OBRA                                                                    ;SERVICOS DE APOIO ADMINISTRATIVO E OPERACIONAL                                            ;0;0;0;0;5670.6
ATIVIDADES DA COORDENADORIA DE APOIO EXTERNO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SEGUROS EM GERAL. EXCETO OS DESTINADOS A SERVIDORES                                       ;0;5695.25;5695.25;5695.25;5695.25
DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS DA ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CIDAD;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;669000;0;0;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. DIRETA - GOVERNANCA PARA O;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;650000;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;REMUNERACAO DE CARGO DE DIRECAO E ASSISTENCIA SUPERIOR (DAS)                              ;0;3827227.27;3827227.27;3827227.27;3779914.41
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE DESEMPENHO FAZENDARIO                                                     ;0;97812;97812;97812;97177.4
RECRUTAMENTO E SELECAO DE SERVIDORES;MATERIAL DE CONSUMO                                                                       ;MATERIAIS PARA ESCRITORIO E EXPEDIENTE                                                    ;0;37184.7;36575;36575;36575
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;VENCIMENTOS DE CARGO EFETIVO                                                              ;0;3472631.94;3472631.94;3472631.94;3458228.25
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CI;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;SERVICOS DE INFORMATICA                                                                   ;0;160437.5;160437.5;160437.5;160437.5
MANUTENCAO DO CIAD - MESTRE CANDEIA;MATERIAL DE CONSUMO                                                                       ;MATERIAIS PARA LIMPEZA. E HIGIENE                                                         ;0;0;0;0;739.98
INCLUSAO SOCIO-EDUCATIVA INTEGRAL DA PESSOA COM DEFICIENCIA;LOCACAO DE MAO-DE-OBRA                                                                    ;SERVICOS DE VIGILANCIA E POLICIAMENTO POR PESSOA JURIDICA                                 ;0;286197.74;286197.74;270492.12;405345.26
DESENVOLVIMENTO GLOBAL E INCLUSAO PRODUTIVA DA PESSOA COM DEFICIENCIA E SUA FAMILIA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;DESPESAS MIUDAS DE PRONTO PAGAMENTO E/OU DE CARATER EXTRAORDINARIO OU URGENTE             ;0;6468.88;6468.88;6468.88;6468.88
DESENVOLVIMENTO GLOBAL E INCLUSAO PRODUTIVA DA PESSOA COM DEFICIENCIA E SUA FAMILIA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVS.DE REPARO. ADAPTACAO.CONSERV.RESTAURACAO E INSTALACAO DE SISTEMA DE REFRIGERACAO    ;0;1300;1300;1300;1950
SUPORTE ADMINISTRATIVO E EDUCACIONAL - SUBPD;PASSAGENS E DESPESAS COM LOCOMOCAO                                                        ;PASSAGENS                                                                                 ;0;5188.87;3489.45;3489.45;3489.45
SUPORTE ADMINISTRATIVO E EDUCACIONAL - SUBPD;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;128949.07;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO POR TRABALHO TECNICO OU CIENTIFICO                                           ;0;27455.45;27455.45;27455.45;27246.5
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO POR CAPACITACAO - GCAP                                                       ;0;247528.37;247528.37;247528.37;222865.61
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                 ;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                 ;624000;0;0;0;0
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADM. DIRETA - RIO VERDE. LIMPO E SAUDAVEL;MATERIAL DE CONSUMO                                                                       ;MATERIAL DE CONSUMO                                                                       ;2250;0;0;0;0
MANUTENCAO DE UNIDADES DE ATENDIMENTO AOS ANIMAIS URBANOS;MATERIAL DE CONSUMO                                                                       ;MATERIAIS PARA USO MEDICINAL. CIRURGICO E ODONTOLOGICO                                    ;0;366615.44;112021.56;89865.72;397631.91
MANUTENCAO DE UNIDADES DE ATENDIMENTO AOS ANIMAIS URBANOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS ADMINISTRATIVOS TECNICOS CIENTIFICOSE DE PESQUISA DE CARATER EVENTUAL            ;0;511267.55;442971.95;442971.95;1460451.15
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;MATERIAIS PARA CONSERVACAO E MANUTENCAO DE COMPUTADORES E PERIFERICOS                     ;0;9033;9033;1428;1428
ATIVIDADES DA COORDENADORIA DE APOIO EXTERNO;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;MAQUINAS E EQUIPAMENTOS PERMANENTES ADQUIRIDOS PELO SISTEMA DESCENTRALIZADO DE PAGAMENTO  ;0;151623.77;151623.77;151623.77;151623.77
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE TELEFONIA                                                                     ;0;47075.1;14686.31;13176.84;15615.58
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                 ;GRATIF. PELO EXERC. DE ENCARGO DE AUX. OU MEMBRO DE BANCA/COMISSAO EXAMIN. DE CONCURSOS   ;0;2935865.6;2935865.6;2935865.6;2952223.53
RECRUTAMENTO E SELECAO DE SERVIDORES;MATERIAL DE CONSUMO                                                                       ;MATERIAIS PARA LIMPEZA. E HIGIENE                                                         ;0;741.7;0;0;0
RECRUTAMENTO E SELECAO DE SERVIDORES;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;MAQUINAS E EQUIPAMENTOS DE INFORMATICA E TELEPROCESSAMENTO                                ;0;98.92;0;0;0
RECRUTAMENTO E SELECAO DE SERVIDORES;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;BENS IMOVEIS - LOCACAO                                                                    ;0;9024;9024;9024;9024
ATIVIDADES DO CONSELHO MUNICIPAL DE DEFESA DOS DIREITOS DA PESSOA COM DEFICIENCIA (COMDEF);MATERIAL DE CONSUMO                                                                       ;MATERIAL DE CONSUMO                                                                       ;1500;0;0;0;0
MANUTENCAO DO CIAD - MESTRE CANDEIA;MATERIAL DE CONSUMO                                                                       ;MATERIAIS PARA ESCRITORIO E EXPEDIENTE                                                    ;0;12494.02;8339.1;8339.1;9484.8
MANUTENCAO DO CIAD - MESTRE CANDEIA;MATERIAL DE CONSUMO                                                                       ;GENEROS ALIMENTICIOS. INCLUSIVE BEBIDAS                                                   ;0;680;0;0;0
MANUTENCAO DO CIAD - MESTRE CANDEIA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;611718.96;0;0;0;0
INCLUSAO SOCIO-EDUCATIVA INTEGRAL DA PESSOA COM DEFICIENCIA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;2114607.69;0;0;0;0
DESENVOLVIMENTO GLOBAL E INCLUSAO PRODUTIVA DA PESSOA COM DEFICIENCIA E SUA FAMILIA;MATERIAL DE CONSUMO                                                                       ;MATERIAIS PARA LIMPEZA. E HIGIENE                                                         ;0;2034;2034;2034;2034
DESENVOLVIMENTO GLOBAL E INCLUSAO PRODUTIVA DA PESSOA COM DEFICIENCIA E SUA FAMILIA;LOCACAO DE MAO-DE-OBRA                                                                    ;SERVICOS DE LIMPEZA. CONSERVACAO. HIGIENE E COPA POR PESSOA JURIDICA                      ;0;669262;461560;461560;565411.13
DESENVOLVIMENTO GLOBAL E INCLUSAO PRODUTIVA DA PESSOA COM DEFICIENCIA E SUA FAMILIA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE RECREACAO E ASSISTENCIA SOCIAL                                                ;0;3738149.16;3738149.16;3738149.16;6038716.24
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;DIARIAS - CIVIL                                                                           ;DIARIAS                                                                                   ;0;25000;11186.68;11186.68;11186.68
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;MATERIAL DE CONSUMO                                                                       ;40000;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE CORRESPONDENCIA                                                               ;0;34395.2;19456.99;19456.99;22531.8
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE TELEFONIA                                                                     ;0;27417.95;9446.01;8404.94;10509.73
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. DIRETA - GOVERNANCA PARA O;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
ATIVIDADES DO PROCON CARIOCA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;LOCACAO DE VEICULOS DE REPRESENTACAO E OPERACIONAL                                        ;0;343188;258850.61;231343.09;261013.66
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. DIRETA - GOVERNANCA PARA O;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;1000;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;REMUNERACAO DE CARGO DE DIRECAO E ASSISTENCIA SUPERIOR (DAS)                              ;0;234836.66;234836.66;234836.66;233431.3
IMPLANTACAO DE PARCERIAS PUBLICO-PRIVADAS NO AMBITO DO MUNICIPIO DO RIO DE JANEIRO;SERVICOS DE CONSULTORIA                                                                   ;CONSULTORIAS EM GERAL                                                                     ;0;953704.99;779647.51;663282.21;1547658.31
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE INFORMATICA                                                                   ;0;0;0;0;0
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;SERVICOS GRAFICOS EM GERAL                                                                ;0;1803.76;1803.76;1803.76;1803.76
ATIVIDADES DA COORDENADORIA DE APOIO EXTERNO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;DESPESAS MIUDAS DE PRONTO PAGAMENTO E/OU DE CARATER EXTRAORDINARIO OU URGENTE             ;0;591919.21;591919.21;559952.11;559952.11
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;30624000;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;13  VENCIMENTO DE FUNCIONARIO ESTATUTARIO                                                 ;0;159734.15;159734.15;159734.15;152958.31
RECRUTAMENTO E SELECAO DE SERVIDORES;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE RECRUTAMENTO E SELECAO POR PESSOA JURIDICA                                    ;0;2096655.79;1094330.36;1052979.48;1052979.48
MODERNIZACAO DA MODELAGEM DE PROJETOS E PROCESSOS - PNAFM;OBRAS E INSTALACOES                                                                       ;OBRAS E INSTALACOES                                                                       ;0;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;ABONO DE PERMANENCIA                                                                      ;0;771952.27;771952.27;771952.27;774546.04
APOIO ADMINISTRATIVO - CAPITAL HUMANO NA FORMACAO DO CARIOCA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVS.DE REPARO.ADPTACAO.CONSERV.RESTAUR.E INSTAL.DE BENS MOVEIS E IMOV.P/PESSOA JURIDICA ;0;4207410.73;3506175.6;2804940.48;3474187.85
APOIO ADMINISTRATIVO - CAPITAL HUMANO NA FORMACAO DO CARIOCA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;LOCACAO DE EQUIPAMENTOS COM OPERACAO E INSUMOS                                            ;0;25873.46;10515.83;8026.21;8026.21
APOIO ADMINISTRATIVO - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;250;0;0;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - RIO SEGURO E VIGILANTE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE TELEFONIA                                                                     ;0;20338.51;12489.78;12169.03;12169.03
GESTAO DE ATIVIDADES DESTINADAS A ASSISTENCIA SOCIAL DO SERVIDOR PUBLICO MUNICIPAL;MATERIAL DE CONSUMO                                                                       ;MATERIAIS DE PROTECAO E SEGURANCA                                                         ;0;0;0;0;0
APOIO ADMINISTRATIVO - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;DIARIAS - CIVIL                                                                           ;DIARIAS - CIVIL                                                                           ;25000;0;0;0;0
APOIO ADMINISTRATIVO - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;MATERIAL PARA CONSERVACAO E MANUTENCAO DE BENS MOVEIS E IMOVEIS                           ;0;0;0;0;1554.8
APOIO ADMINISTRATIVO - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;OBRAS E INSTALACOES                                                                       ;OBRAS E INSTALACOES                                                                       ;0;0;0;0;0
DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;103216;0;0;0;0
DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;27000;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;REMUNERACAO DE CARGO DE DIRECAO E ASSISTENCIA INTERMEDIARIA (DAI)                         ;0;108060;108060;108060;120539.5
PROVISAO DE GASTOS COM PESSOAL - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;CONTRIBUICOES  PATRONAIS                                                                  ;INSTITUTO NACIONAL DE SEGURIDADE SOCIAL                                                   ;0;0;0;0;8652.76
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE PARTICIPACAO EM ORGAO DE DELIBERACAO COLETIVA                             ;0;950590.28;950590.28;950590.28;951563.22
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE EXECUCAO TECNICA                                                          ;0;180000.05;180000.05;180000.05;184676.1
PROVISAO DE GASTOS COM PESSOAL - GOVERNANCA PARA OS CIDADAOS;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                 ;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                 ;5701000;0;0;0;0
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADMINISTRACAO DIRETA - GOVERNANCA PARA OS CI;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE INFORMATICA                                                                   ;0;103543.94;103543.94;103543.94;103543.94
RECRUTAMENTO E SELECAO DE SERVIDORES;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;25000;0;0;0;0
MANUTENCAO DO CIAD - MESTRE CANDEIA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE GER.. OPERAC. E EXEC. DE ATIV. DIRIGIDAS A ASSIST. SOCIAL. PRESTADOS POR OSC  ;0;853712;512227.2;341484.8;341484.8
IMPLANTACAO DO CENTRO MUNICIPAL DE REFERENCIA DA PESSOA COM DEFICIENCIA NA ZONA OESTE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;164271.62;0;0;0;0
INCLUSAO SOCIO-EDUCATIVA INTEGRAL DA PESSOA COM DEFICIENCIA;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA                                              ;BENS IMOVEIS - LOCACAO PESSOA FISICA                                                      ;0;313630.54;243816.85;229422.51;252726.29
DESENVOLVIMENTO GLOBAL E INCLUSAO PRODUTIVA DA PESSOA COM DEFICIENCIA E SUA FAMILIA;MATERIAL DE CONSUMO                                                                       ;COMBUSTIVEIS E LUBRIFICANTES                                                              ;0;219.54;219.54;219.54;219.54
SUPORTE ADMINISTRATIVO E EDUCACIONAL - SUBPD;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS GRAFICOS EM GERAL POR PESSOA JURIDICA                                            ;0;435;435;435;435
SUPORTE ADMINISTRATIVO E EDUCACIONAL - SUBPD;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;BENS IMOVEIS - LOCACAO DE PESSOA JURIDICA                                                 ;0;7800;4291.95;4291.95;4291.95
SUPORTE ADMINISTRATIVO E EDUCACIONAL - SUBPD;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE TRANSPORTE. FRETE E CARRETOS                                                  ;0;18984.07;16269.56;16269.56;21693.38
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;VENCIMENTOS DE CARGO EFETIVO                                                              ;0;2493287.42;2493287.42;2493287.42;2360237.39
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;ADICIONAL DE INSALUBRIDADE                                                                ;0;8736;8736;8736;8832.25
PROVISAO DE GASTOS COM PESSOAL - RIO GLOBAL. PRODUTIVO. INOVADOR E DE OPORTUNIDADES;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;1000;0;0;0;0
CAPACITACAO DE RECURSOS HUMANOS - ADM. INDIRETA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;204900;0;0;0;0
APOIO ADMINISTRATIVO - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;MATERIAL DE CONSUMO                                                                       ;MATERIAIS DE PROTECAO E SEGURANCA                                                         ;0;0;0;0;0
APOIO ADMINISTRATIVO - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS BANCARIOS                                                                        ;0;10500;9685.52;9685.52;9685.52
PROVISAO DE GASTOS COM PESSOAL - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;INDENIZACOES E RESTITUICOES TRABALHISTAS                                                  ;INDENIZACOES E RESTITUICOES TRABALHISTAS                                                  ;11005;0;0;0;0
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;OBRAS E INSTALACOES                                                                       ;OBRAS E INSTALACOES                                                                       ;0;0;0;0;0
SERVIDORES INATIVOS DA REDE DE ENSINO;APOSENTADORIAS E REFORMAS                                                                 ;INATIVOS                                                                                  ;0;873400612.9;873400612.9;873400612.9;963346429.3
SERVIDORES INATIVOS DA REDE DE SAUDE;APOSENTADORIAS E REFORMAS                                                                 ;INATIVOS                                                                                  ;0;85716251.03;85716251.03;85716251.03;96521172.58
SERVIDORES INATIVOS DA ADMINISTRACAO DIRETA;APOSENTADORIAS E REFORMAS                                                                 ;APOSENTADORIAS E REFORMAS                                                                 ;92682803.9;0;0;0;0
SERVIDORES INATIVOS DA ADMINISTRACAO DIRETA;OUTROS BENEFICIOS PREVIDENCIARIOS                                                         ;SALARIO FAMILIA - INATIVOS                                                                ;0;91117.4;91117.4;91117.4;100371.2
SERVIDORES INATIVOS DA CMRJ;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;DESPESA COM INATIVOS                                                                      ;0;504141.43;504141.43;504141.43;504141.43
BENEFICIOS A DEPENDENTES;OUTROS BENEFICIOS PREVIDENCIARIOS                                                         ;OUTROS BENEFICIOS PREVIDENCIARIOS                                                         ;5000;0;0;0;0
SISTEMA MUNICIPAL DE INFORMACOES URBANAS - SIURB;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS                                                    ;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS                                                    ;0;0;0;0;0
PROJETO RIO DE EXCELENCIA - IPP;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;MAQUINAS E EQUIPAMENTOS DE RADIO. TELECOMUNICACOES.GRAVACAO.REPRODUCAO DE SOM E/OU IMAGEM ;0;9000;9000;9000;9000
MAPEAMENTO DIGITAL;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS ADMINISTRATIVOS. TECNICOS. CIENTIFICOS E DE PESQUISA DE CARATER EVENTUAL         ;0;116700;70020;35010;35010
APOIO ADMINISTRATIVO - ADM. INDIRETA - TERRITORIO DESCENTRALIZADO. INCLUSIVO E CONECTADO;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA                                              ;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA                                              ;146905.6;0;0;0;0
APOIO ADMINISTRATIVO - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;VALE-TRANSPORTE                                                                           ;0;3000;3000;3000;3000
APOIO ADMINISTRATIVO - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;MAQUINAS E EQUIPAMENTOS PARA SERVICOS ADMINISTRATIVOS E TECNICOS                          ;0;4200;4200;4200;4200
APOIO ADMINISTRATIVO - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;INDENIZACOES E RESTITUICOES                                                               ;INDENIZACOES E RESTITUICOES                                                               ;4560000;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;VENCIMENTOS DE CARGO EFETIVO                                                              ;0;11054599.48;11054599.48;11054599.48;12369002.91
PROVISAO DE GASTOS COM PESSOAL - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;CONTRIBUICOES  PATRONAIS                                                                  ;SEGURO DE ACIDENTE DE TRABALHO                                                            ;0;0;0;0;412.49
PROVISAO DE GASTOS COM PESSOAL - ADM. INDIRETA - GOVERNANCA PARA OS CIDADAOS;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                 ;GRATIFICACAO DE ENCARGOS ESPECIAIS                                                        ;0;48790.2;48790.2;48790.2;48790.2
